"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"North Carolina"	"37"	31	322231	9.6
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Ohio"	"39"	33	364063	9.1
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Pennsylvania"	"42"	41	413661	9.9
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"South Carolina"	"45"	28	154446	18.1
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Tennessee"	"47"	33	214133	15.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Texas"	"48"	97	1036504	9.4
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Virginia"	"51"	17	294182	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"West Virginia"	"54"	10	52462	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by jumping from a high place"	"X80"	"Intentional self-harm by jumping from a high place"	"X80"	"California"	"06"	15	1487711	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by jumping from a high place"	"X80"	"Intentional self-harm by jumping from a high place"	"X80"	"New York"	"36"	12	704905	Unreliable
	"30-34 years"	"30-34"	"Male"	"M"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"California"	"06"	15	1487711	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"California"	"06"	11	1337511	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Pennsylvania"	"42"	11	384857	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"California"	"06"	28	1337511	2.1
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Colorado"	"08"	10	195146	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Florida"	"12"	15	643110	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Massachusetts"	"25"	11	218232	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New York"	"36"	18	650645	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"North Carolina"	"37"	13	334237	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Pennsylvania"	"42"	16	384857	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Texas"	"48"	18	982601	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Virginia"	"51"	11	285670	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"California"	"06"	28	1337511	2.1
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Colorado"	"08"	10	195146	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Florida"	"12"	15	643110	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Massachusetts"	"25"	11	218232	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"New York"	"36"	18	650645	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"North Carolina"	"37"	13	334237	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Pennsylvania"	"42"	16	384857	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Texas"	"48"	18	982601	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Virginia"	"51"	11	285670	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"South Carolina"	"45"	10	158912	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of head, part unspecified"	"S01.9"	"Texas"	"48"	16	982601	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Open wound of unspecified body region"	"T14.1"	"Texas"	"48"	13	982601	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Florida"	"12"	10	643110	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Georgia"	"13"	11	360108	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"South Carolina"	"45"	11	158912	Unreliable
	"35-39 years"	"35-39"	"Female"	"F"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Texas"	"48"	18	982601	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"California"	"06"	11	1375976	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Alabama"	"01"	12	146855	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Arizona"	"04"	17	226245	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Arkansas"	"05"	15	94855	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"California"	"06"	108	1375976	7.8
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Colorado"	"08"	23	206227	11.2
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Connecticut"	"09"	10	106042	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Florida"	"12"	53	637508	8.3
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Georgia"	"13"	29	337450	8.6
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Hawaii"	"15"	11	48636	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Illinois"	"17"	48	426286	11.3
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Indiana"	"18"	36	210815	17.1
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Iowa"	"19"	14	100968	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Kansas"	"20"	20	95472	20.9
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Kentucky"	"21"	18	140787	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Louisiana"	"22"	15	153496	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Maryland"	"24"	14	197521	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Massachusetts"	"25"	27	212403	12.7
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Michigan"	"26"	37	294313	12.6
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Minnesota"	"27"	23	190313	12.1
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Mississippi"	"28"	15	91914	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Missouri"	"29"	26	193906	13.4
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New Jersey"	"34"	16	290880	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New Mexico"	"35"	17	65866	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"New York"	"36"	48	635317	7.6
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"North Carolina"	"37"	30	318127	9.4
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Ohio"	"39"	47	356089	13.2
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Oklahoma"	"40"	19	128957	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Oregon"	"41"	18	144724	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Pennsylvania"	"42"	45	384956	11.7
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"South Carolina"	"45"	22	151534	14.5
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Tennessee"	"47"	29	210703	13.8
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Texas"	"48"	87	992663	8.8
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Utah"	"49"	13	116353	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Virginia"	"51"	19	283764	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Washington"	"53"	27	263409	10.3
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"West Virginia"	"54"	11	55498	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Asphyxiation"	"T71"	"Wisconsin"	"55"	15	185235	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Alabama"	"01"	12	146855	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Arizona"	"04"	17	226245	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Arkansas"	"05"	15	94855	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"California"	"06"	109	1375976	7.9
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Colorado"	"08"	23	206227	11.2
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Connecticut"	"09"	10	106042	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Florida"	"12"	53	637508	8.3
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Georgia"	"13"	29	337450	8.6
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Hawaii"	"15"	11	48636	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Illinois"	"17"	48	426286	11.3
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Indiana"	"18"	36	210815	17.1
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Iowa"	"19"	14	100968	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Kansas"	"20"	20	95472	20.9
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Kentucky"	"21"	18	140787	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Louisiana"	"22"	15	153496	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Maryland"	"24"	14	197521	Unreliable
	"35-39 years"	"35-39"	"Male"	"M"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Massachusetts"	"25"	27	212403	12.7
